seed,model,score
10,mlp,0.2995236814022064
11,mlp,0.29663464426994324
12,mlp,0.2961333692073822
13,mlp,0.29656100273132324
14,mlp,0.3004832863807678
10,neumiss,0.2965036928653717
11,neumiss,0.2959635555744171
12,neumiss,0.29551342129707336
13,neumiss,0.29820191860198975
14,neumiss,0.29430830478668213
10,supmiwae,0.29343873262405396
11,supmiwae,0.2968781292438507
12,supmiwae,0.29619884490966797
13,supmiwae,0.29694974422454834
14,supmiwae,0.2941261827945709
10,supnotmiwae,0.2979297935962677
11,supnotmiwae,0.2998674213886261
12,supnotmiwae,0.2984679043292999
13,supnotmiwae,0.294314444065094
14,supnotmiwae,0.29926586151123047
10,gbt,0.29767404746023496
11,gbt,0.2993027052906827
12,gbt,0.3010582183792809
13,gbt,0.30030731709313224
14,gbt,0.3012791920547687
