seed,model,score
10,gbt,0.7254594603058239
11,gbt,0.7249851625558722
12,gbt,0.724944395188325
13,gbt,0.7250910170922437
14,gbt,0.7251191789984069
10,mlp,0.7198481559753418
11,mlp,0.7196513414382935
12,mlp,0.7197149395942688
13,mlp,0.7199613451957703
14,mlp,0.7201328873634338
10,neumiss,0.702777087688446
11,neumiss,0.7082423567771912
12,neumiss,0.7003749012947083
13,neumiss,0.7027818560600281
14,neumiss,0.702231228351593
10,supmiwae,0.7071780562400818
11,supmiwae,0.7048503756523132
12,supmiwae,0.7012187838554382
13,supmiwae,0.7074977159500122
14,supmiwae,0.7037341594696045
10,supnotmiwae,0.7179051041603088
11,supnotmiwae,0.715618371963501
12,supnotmiwae,0.7151675224304199
13,supnotmiwae,0.7151698470115662
14,supnotmiwae,0.7176944017410278
